"","occurrence_no","phylum","class","order","family","genus","taxon_environment","environment_basis","motility","motility_basis","life_habit","life_habit_basis","diet","diet_basis","ref_author","ref_pubyr"
"675",19656,"Mollusca","Bivalvia","Hippuritida","Antillocaprinidae","Titanosarcolites","marine","Antillocaprinidae","stationary, attached","Hippuritida","epifaunal","Antillocaprinidae","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"676",19658,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Veniella","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"677",19659,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Veniella","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"678",19694,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Tenea","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"679",19696,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Ambigostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"680",19737,"Mollusca","Bivalvia","Nuculida","NO_FAMILY_SPECIFIED","Cnestriella","","","slow-moving","Nuculida","infaunal","Nuculida","deposit feeder","Nuculida","Jablonski and Raup 1999",1999
"681",19748,"Mollusca","Bivalvia","Trigoniida","Megatrigoniidae","Matsudagonia","","","facultatively mobile","Trigoniida","infaunal","Trigoniida","suspension feeder","Trigoniida","Jablonski and Raup 1999",1999
"682",19750,"Mollusca","Bivalvia","Trigoniida","Steinmanellidae","Yaadia","","","facultatively mobile","Trigoniida","infaunal","Trigoniida","suspension feeder","Trigoniida","Jablonski and Raup 1999",1999
"683",19751,"Mollusca","Bivalvia","Trigoniida","Steinmanellidae","Tashiroella","","","facultatively mobile","Trigoniida","infaunal","Trigoniida","suspension feeder","Trigoniida","Jablonski and Raup 1999",1999
"684",19761,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Biradiolites","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"685",19762,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Biradiolites","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"686",19763,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Biradiolites","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"687",19764,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Bournonia","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"688",19765,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Bournonia","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"689",19766,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Colveraia","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"690",19767,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Colveraia","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"691",19768,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Colveraia","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"692",19770,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Durania","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"693",19781,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Joufia","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"694",19782,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Lapeirousia","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"695",19786,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Radiolites","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"696",19787,"Mollusca","Bivalvia","Hippuritida","Caprinidae","Sabinia","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"697",19788,"Mollusca","Bivalvia","Hippuritida","Caprinidae","Sabinia","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"698",19789,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Kuehnia","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"699",19790,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Kuehnia","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"700",19791,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Kuehnia","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"701",19792,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Kuehnia","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"702",19793,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Sauvagesia","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"703",19797,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Colveraia","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"704",19798,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Colveraia","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"705",19799,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Colveraia","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"706",19800,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Colveraia","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"707",19801,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Biradiolites","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"708",19802,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Colveraia","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"709",19803,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Joufia","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
