"","occurrence_no","phylum","class","order","family","genus","taxon_environment","environment_basis","motility","motility_basis","life_habit","life_habit_basis","diet","diet_basis","ref_author","ref_pubyr"
"1",14625,"Mollusca","Gastropoda","Sorbeoconcha","Tornidae","Teinostoma","","","actively mobile","Gastropoda","epifaunal","Gastropoda","","","Elder 1981",1981
"2",14644,"Mollusca","Scaphopoda","Gadilida","Gadilidae","Cadulus","","","slow-moving","Gadilida","shallow infaunal","Gadilida","deposit feeder","Gadilida","Elder 1981",1981
"3",14676,"Mollusca","Scaphopoda","Gadilida","Gadilidae","Cadulus","","","slow-moving","Gadilida","shallow infaunal","Gadilida","deposit feeder","Gadilida","Elder 1981",1981
"4",14708,"Mollusca","Gastropoda","Sorbeoconcha","Tornidae","Teinostoma","","","actively mobile","Gastropoda","epifaunal","Gastropoda","","","Palmer and Brann 1965",1965
"5",14723,"Mollusca","Scaphopoda","Gadilida","Gadilidae","Cadulus","","","slow-moving","Gadilida","shallow infaunal","Gadilida","deposit feeder","Gadilida","Elder 1981",1981
"6",14758,"Mollusca","Scaphopoda","Gadilida","Gadilidae","Cadulus","","","slow-moving","Gadilida","shallow infaunal","Gadilida","deposit feeder","Gadilida","Elder 1981",1981
"7",14810,"Mollusca","Scaphopoda","Gadilida","Gadilidae","Cadulus","","","slow-moving","Gadilida","shallow infaunal","Gadilida","deposit feeder","Gadilida","Elder 1981",1981
"8",14864,"Mollusca","Gastropoda","Sorbeoconcha","Tornidae","Teinostoma","","","actively mobile","Gastropoda","epifaunal","Gastropoda","","","Elder 1981",1981
"9",14880,"Mollusca","Scaphopoda","Gadilida","Gadilidae","Cadulus","","","slow-moving","Gadilida","shallow infaunal","Gadilida","deposit feeder","Gadilida","Elder 1981",1981
"10",14956,"Mollusca","Scaphopoda","Gadilida","Gadilidae","Cadulus","","","slow-moving","Gadilida","shallow infaunal","Gadilida","deposit feeder","Gadilida","Elder 1981",1981
"11",14979,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Ambigostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"12",14980,"Mollusca","Bivalvia","Trigoniida","Megatrigoniidae","Pterotrigonia (Scabrotrigonia)","","","facultatively mobile","Trigoniida","infaunal","Trigoniida","suspension feeder","Trigoniida","Jablonski and Raup 1999",1999
"13",14981,"Mollusca","Bivalvia","Trigoniida","Megatrigoniidae","Pterotrigonia (Scabrotrigonia)","","","facultatively mobile","Trigoniida","infaunal","Trigoniida","suspension feeder","Trigoniida","Jablonski and Raup 1999",1999
"14",14994,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Veniella","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"15",14995,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Tenea","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"16",15030,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Agerostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"17",15031,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Ambigostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"18",15032,"Mollusca","Bivalvia","Trigoniida","Megatrigoniidae","Pterotrigonia (Scabrotrigonia)","","","facultatively mobile","Trigoniida","infaunal","Trigoniida","suspension feeder","Trigoniida","Jablonski and Raup 1999",1999
"19",15037,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Veniella","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"20",15038,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Tenea","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"21",15051,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Veniella","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"22",15063,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Agerostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"23",15089,"Mollusca","Bivalvia","Trigoniida","Megatrigoniidae","Pterotrigonia (Scabrotrigonia)","","","facultatively mobile","Trigoniida","infaunal","Trigoniida","suspension feeder","Trigoniida","Jablonski and Raup 1999",1999
"24",15093,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Veniella","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"25",15122,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Agerostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"26",15123,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Ambigostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"27",15143,"Mollusca","Bivalvia","Hippuritida","Antillocaprinidae","Antillocaprina","marine","Antillocaprinidae","stationary, attached","Hippuritida","epifaunal","Antillocaprinidae","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"28",15153,"Mollusca","Bivalvia","Hippuritida","Antillocaprinidae","Titanosarcolites","marine","Antillocaprinidae","stationary, attached","Hippuritida","epifaunal","Antillocaprinidae","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"29",15154,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Veniella","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"30",15169,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Ambigostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"31",15170,"Mollusca","Bivalvia","Trigoniida","Megatrigoniidae","Pterotrigonia (Scabrotrigonia)","","","facultatively mobile","Trigoniida","infaunal","Trigoniida","suspension feeder","Trigoniida","Jablonski and Raup 1999",1999
"32",15173,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Veniella","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"33",15177,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Agerostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"34",15178,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Agerostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"35",15210,"Mollusca","Bivalvia","Trigoniida","Megatrigoniidae","Pterotrigonia (Scabrotrigonia)","","","facultatively mobile","Trigoniida","infaunal","Trigoniida","suspension feeder","Trigoniida","Jablonski and Raup 1999",1999
"36",15219,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Tenea","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"37",15240,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Ambigostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"38",15241,"Mollusca","Bivalvia","Trigoniida","Megatrigoniidae","Pterotrigonia (Scabrotrigonia)","","","facultatively mobile","Trigoniida","infaunal","Trigoniida","suspension feeder","Trigoniida","Jablonski and Raup 1999",1999
"39",15252,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Veniella","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"40",15267,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Agerostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"41",15268,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Ambigostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"42",15292,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Agerostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"43",15293,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Ambigostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"44",15311,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Etea","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"45",15335,"Mollusca","Bivalvia","Trigoniida","Megatrigoniidae","Pterotrigonia (Scabrotrigonia)","","","facultatively mobile","Trigoniida","infaunal","Trigoniida","suspension feeder","Trigoniida","Jablonski and Raup 1999",1999
"46",15341,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Veniella","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"47",15356,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Ambigostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"48",15394,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Veniella","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"49",15403,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Ambigostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"50",15423,"Mollusca","Bivalvia","Trigoniida","Pterotrigoniidae","Tennessiella","","","facultatively mobile","Trigoniida","infaunal","Trigoniida","suspension feeder","Trigoniida","Jablonski and Raup 1999",1999
"51",15424,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Tenea","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"52",15442,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Ambigostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"53",15443,"Mollusca","Bivalvia","Trigoniida","Megatrigoniidae","Pterotrigonia (Scabrotrigonia)","","","facultatively mobile","Trigoniida","infaunal","Trigoniida","suspension feeder","Trigoniida","Jablonski and Raup 1999",1999
"54",15457,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Veniella","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"55",15458,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Tenea","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"56",15495,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Ambigostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"57",15496,"Mollusca","Bivalvia","Trigoniida","Megatrigoniidae","Pterotrigonia (Scabrotrigonia)","","","facultatively mobile","Trigoniida","infaunal","Trigoniida","suspension feeder","Trigoniida","Jablonski and Raup 1999",1999
"58",15497,"Mollusca","Bivalvia","Trigoniida","Megatrigoniidae","Pterotrigonia (Scabrotrigonia)","","","facultatively mobile","Trigoniida","infaunal","Trigoniida","suspension feeder","Trigoniida","Jablonski and Raup 1999",1999
"59",15514,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Veniella","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"60",15515,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Tenea","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"61",15539,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Etea","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"62",15549,"Mollusca","Bivalvia","Trigoniida","Pterotrigoniidae","Tennessiella","","","facultatively mobile","Trigoniida","infaunal","Trigoniida","suspension feeder","Trigoniida","Jablonski and Raup 1999",1999
"63",15570,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Agerostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"64",15571,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Ambigostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"65",15572,"Mollusca","Bivalvia","Trigoniida","Pterotrigoniidae","Tennessiella","","","facultatively mobile","Trigoniida","infaunal","Trigoniida","suspension feeder","Trigoniida","Jablonski and Raup 1999",1999
"66",15585,"Mollusca","Bivalvia","Pandorida","Clavagellidae","Ascaulocardium","","","facultatively mobile","Bivalvia","infaunal","Bivalvia","suspension feeder","Bivalvia","Jablonski and Raup 1999",1999
"67",15587,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Agerostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"68",15589,"Mollusca","Bivalvia","Pandorida","Clavagellidae","Ascaulocardium","","","facultatively mobile","Bivalvia","infaunal","Bivalvia","suspension feeder","Bivalvia","Jablonski and Raup 1999",1999
"69",15604,"Mollusca","Bivalvia","Trigoniida","Megatrigoniidae","Pterotrigonia (Scabrotrigonia)","","","facultatively mobile","Trigoniida","infaunal","Trigoniida","suspension feeder","Trigoniida","Jablonski and Raup 1999",1999
"70",15606,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Veniella","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"71",15624,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Agerostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"72",15625,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Ambigostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"73",15626,"Mollusca","Bivalvia","Trigoniida","Megatrigoniidae","Pterotrigonia (Scabrotrigonia)","","","facultatively mobile","Trigoniida","infaunal","Trigoniida","suspension feeder","Trigoniida","Jablonski and Raup 1999",1999
"74",15631,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Etea","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"75",15632,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Veniella","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"76",15636,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Agerostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"77",15640,"Mollusca","Bivalvia","Pandorida","Clavagellidae","Ascaulocardium","","","facultatively mobile","Bivalvia","infaunal","Bivalvia","suspension feeder","Bivalvia","Jablonski and Raup 1999",1999
"78",15655,"Mollusca","Bivalvia","Hippuritida","Monopleuridae","Gyropleura","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"79",15673,"Mollusca","Bivalvia","Trigoniida","Megatrigoniidae","Pterotrigonia (Scabrotrigonia)","","","facultatively mobile","Trigoniida","infaunal","Trigoniida","suspension feeder","Trigoniida","Jablonski and Raup 1999",1999
"80",15674,"Mollusca","Bivalvia","Trigoniida","Pterotrigoniidae","Tennessiella","","","facultatively mobile","Trigoniida","infaunal","Trigoniida","suspension feeder","Trigoniida","Jablonski and Raup 1999",1999
"81",15678,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Tenea","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"82",15680,"Mollusca","Bivalvia","Hippuritida","Antillocaprinidae","Titanosarcolites","marine","Antillocaprinidae","stationary, attached","Hippuritida","epifaunal","Antillocaprinidae","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"83",15703,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Ambigostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"84",15704,"Mollusca","Bivalvia","Trigoniida","Pterotrigoniidae","Tennessiella","","","facultatively mobile","Trigoniida","infaunal","Trigoniida","suspension feeder","Trigoniida","Jablonski and Raup 1999",1999
"85",15708,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Veniella","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"86",15709,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Tenea","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"87",15713,"Mollusca","Bivalvia","Hippuritida","Antillocaprinidae","Antillocaprina","marine","Antillocaprinidae","stationary, attached","Hippuritida","epifaunal","Antillocaprinidae","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"88",15715,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Agerostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"89",15725,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Etea","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"90",15767,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Agerostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"91",15768,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Agerostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"92",15774,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Veniella","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"93",15775,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Tenea","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"94",15785,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Ambigostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"95",15798,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Etea","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"96",15820,"Mollusca","Bivalvia","Trigoniida","Megatrigoniidae","Pterotrigonia (Scabrotrigonia)","","","facultatively mobile","Trigoniida","infaunal","Trigoniida","suspension feeder","Trigoniida","Jablonski and Raup 1999",1999
"97",15821,"Mollusca","Bivalvia","Trigoniida","Pterotrigoniidae","Tennessiella","","","facultatively mobile","Trigoniida","infaunal","Trigoniida","suspension feeder","Trigoniida","Jablonski and Raup 1999",1999
"98",15846,"Mollusca","Bivalvia","Trigoniida","Megatrigoniidae","Pterotrigonia (Scabrotrigonia)","","","facultatively mobile","Trigoniida","infaunal","Trigoniida","suspension feeder","Trigoniida","Jablonski and Raup 1999",1999
"99",15857,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Veniella","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"100",15858,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Tenea","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"101",15868,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Agerostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"102",15869,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Ambigostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"103",15875,"Mollusca","Bivalvia","Pandorida","Clavagellidae","Ascaulocardium","","","facultatively mobile","Bivalvia","infaunal","Bivalvia","suspension feeder","Bivalvia","Jablonski and Raup 1999",1999
"104",15889,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Etea","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"105",15931,"Mollusca","Bivalvia","Trigoniida","Megatrigoniidae","Pterotrigonia (Scabrotrigonia)","","","facultatively mobile","Trigoniida","infaunal","Trigoniida","suspension feeder","Trigoniida","Jablonski and Raup 1999",1999
"106",15932,"Mollusca","Bivalvia","Trigoniida","Pterotrigoniidae","Tennessiella","","","facultatively mobile","Trigoniida","infaunal","Trigoniida","suspension feeder","Trigoniida","Jablonski and Raup 1999",1999
"107",15940,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Tenea","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"108",15965,"Mollusca","Bivalvia","Trigoniida","Megatrigoniidae","Pterotrigonia (Scabrotrigonia)","","","facultatively mobile","Trigoniida","infaunal","Trigoniida","suspension feeder","Trigoniida","Jablonski and Raup 1999",1999
"109",15966,"Mollusca","Bivalvia","Trigoniida","Megatrigoniidae","Pterotrigonia (Scabrotrigonia)","","","facultatively mobile","Trigoniida","infaunal","Trigoniida","suspension feeder","Trigoniida","Jablonski and Raup 1999",1999
"110",15985,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Etea","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"111",15986,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Tenea","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"112",15998,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Agerostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"113",15999,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Agerostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"114",16000,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Ambigostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"115",16048,"Mollusca","Bivalvia","Trigoniida","Megatrigoniidae","Pterotrigonia (Scabrotrigonia)","","","facultatively mobile","Trigoniida","infaunal","Trigoniida","suspension feeder","Trigoniida","Jablonski and Raup 1999",1999
"116",16052,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Veniella","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"117",16053,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Veniella","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"118",16076,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Ambigostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"119",16077,"Mollusca","Bivalvia","Trigoniida","Megatrigoniidae","Pterotrigonia (Scabrotrigonia)","","","facultatively mobile","Trigoniida","infaunal","Trigoniida","suspension feeder","Trigoniida","Jablonski and Raup 1999",1999
"120",16078,"Mollusca","Bivalvia","Trigoniida","Megatrigoniidae","Pterotrigonia (Scabrotrigonia)","","","facultatively mobile","Trigoniida","infaunal","Trigoniida","suspension feeder","Trigoniida","Jablonski and Raup 1999",1999
"121",16085,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Veniella","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"122",16093,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Agerostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"123",16094,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Ambigostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"124",16103,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Etea","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"125",16135,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Ambigostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"126",16137,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Agerostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"127",16143,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Ambigostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"128",16148,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Etea","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"129",16165,"Mollusca","Bivalvia","Trigoniida","Megatrigoniidae","Pterotrigonia (Scabrotrigonia)","","","facultatively mobile","Trigoniida","infaunal","Trigoniida","suspension feeder","Trigoniida","Jablonski and Raup 1999",1999
"130",16172,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Veniella","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
"131",16175,"Mollusca","Bivalvia","Ostreida","Flemingostreidae","Ambigostrea","marine,brackish","Ostreida","stationary, attached","Ostreida","epifaunal","Ostreida","suspension feeder","Ostreida","Jablonski and Raup 1999",1999
"132",16190,"Mollusca","Bivalvia","Veneroidei","Arcticidae","Etea","","","facultatively mobile","Veneroidei","infaunal","Veneroidei","suspension feeder","Veneroidei","Jablonski and Raup 1999",1999
