,occurrence_no,early_interval,late_interval,max_ma,max_ma_error,max_ma_method,min_ma,min_ma_error,min_ma_method,direct_ma_value,direct_ma_error,direct_ma_method,formation,member,spatial_resolution,collection_dates,ref_author,ref_pubyr,Late_Age,Early_Age,min_Ma,max_Ma,Ref
1,14494,Lutetian,Priabonian,48.07,NA,,33.9,NA,,NA,NA,,Moodys Branch,,,,Elder 1981,1981,Priabonian,Bartonian,33.9,41.2,
368,14925,Lutetian,Priabonian,48.07,NA,,33.9,NA,,NA,NA,,Cockfield,,,,Elder 1981,1981,Bartonian,Bartonian,37.71,41.2,
397,14961,Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,,,,,Jablonski and Raup 1999,1999,,,,,
2378,16945,Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,Maastricht,Nekum,,,Jablonski and Raup 1999,1999,,,,,
5354,20015,Lutetian,Priabonian,48.07,NA,,33.9,NA,,NA,NA,,Yazoo Clay,,,,Elder 1981,1981,,,,,
5895,20679,Lutetian,,48.07,NA,,41.03,NA,,NA,NA,,Lisbon,Upper,,,Hansen 1978,1978,,,,,
6206,21074,Lutetian,,48.07,NA,,41.03,NA,,NA,NA,,Cook Mountain,,,,Hansen 1978,1978,,,,,
6292,21168,Lutetian,,48.07,NA,,41.03,NA,,NA,NA,,Nanjemoy,,,,Hansen 1978,1978,,,,,
6564,23295,Late Campanian,,83.6,NA,,72.2,NA,,NA,NA,,Jalama,VII,,,Dailey and Popenoe 1966,1966,,,,,
6983,23718,Early Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,Pierre Shale,Upper Unnamed Shale,,,Gill et al. 1966,1966,,,,,
6988,23723,Early Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,Fox Hills,,,,Gill et al. 1966,1966,,,,,
7125,23870,Campanian,,83.6,NA,,72.2,NA,,NA,NA,,Lewis Shale,Kara Bentonitic,,,Gill et al. 1966,1966,,,,,
7460,24410,Aptian,,121.4,NA,,113.2,NA,,NA,NA,,Atherfield Clay,Perna,,,Casey 1961,1961,,,,,
7549,24513,Aptian,,121.4,NA,,113.2,NA,,NA,NA,,Ferruginous Sands,Lower Gryphaea,,,Casey 1961,1961,,,,,
7656,24632,Middle Albian,,110.1,NA,,106.3,NA,,NA,NA,,Monk’s Bay Sandstone,,,,Casey 1961,1961,,,,,
7705,24714,Aptian,,121.4,NA,,113.2,NA,,NA,NA,,Sandrock,,,,Casey 1961,1961,,,,,
7736,24745,Aptian,,121.4,NA,,113.2,NA,,NA,NA,,Hythe,,,,Casey 1961,1961,,,,,
7784,24803,Aptian,,121.4,NA,,113.2,NA,,NA,NA,,Sandgate,,,,Casey 1961,1961,,,,,
7818,24860,Aptian,,121.4,NA,,113.2,NA,,NA,NA,,Folkestone,,,,Casey 1961,1961,,,,,
7939,24998,Late Albian,,106.3,NA,,100.5,NA,,NA,NA,,Budden Canyon,Bald Hills,,,Keupp 2008,2008,,,,,
8523,25775,Aptian,,121.4,NA,,113.2,NA,,NA,NA,,Woburn Sand,,,,Casey 1961,1961,,,,,
8531,25796,Barremian,,125.77,NA,,121.4,NA,,NA,NA,,Barranquín,Taguarumo,,,von der Osten 1957,1957,,,,,
8613,25904,Early Albian,,113.2,NA,,110.1,NA,,NA,NA,,Munday’s Hill Phosphatic Sandstone,Shenley Limestone,,,Casey 1961,1961,,,,,
8729,26046,Late Aptian,,119.57,NA,,113.2,NA,,NA,NA,,Alisitos,upper,,,Allison 1955,1955,,,,,
8838,26588,Albian,,113.2,NA,,100.5,NA,,NA,NA,,Kiowa,,,,Scott 1970,1970,,,,,
8878,26649,Late Cenomanian,,100.5,NA,,93.9,NA,,NA,NA,,Coleraine,,,,Bergquist 1944,1944,,,,,
9394,27347,Valanginian,,137.05,NA,,132.6,NA,,NA,NA,,Aground Ouadar,,,,Rey et al. 1988,1988,,,,,
9402,27355,Valanginian,,137.05,NA,,132.6,NA,,NA,NA,,Sidi Lhousseine,,,,Rey et al. 1988,1988,,,,,
9424,27385,Hauterivian,,132.6,NA,,125.77,NA,,NA,NA,,Talmest,,,,Rey et al. 1988,1988,,,,,
9425,27391,Barremian,,125.77,NA,,121.4,NA,,NA,NA,,Taboulouart,,,,Rey et al. 1988,1988,,,,,
9430,27401,Aptian,,121.4,NA,,113.2,NA,,NA,NA,,Tamzergout,,,,Rey et al. 1988,1988,,,,,
9437,27409,Aptian,,121.4,NA,,113.2,NA,,NA,NA,,Tadhart,,,,Rey et al. 1988,1988,,,,,
9442,27421,Aptian,,121.4,NA,,113.2,NA,,NA,NA,,Lemgo,,,,Rey et al. 1988,1988,,,,,
9463,27442,Early Albian,,113.2,NA,,110.1,NA,,NA,NA,,Oued Tidzi,,,,Rey et al. 1988,1988,,,,,
9472,27500,Berriasian,,143.1,NA,,137.05,NA,,NA,NA,,Himalia Ridge,,,,Butterworth et al. 1988,1988,,,,,
9479,27511,Valanginian,Hauterivian,137.05,NA,,125.77,NA,,NA,NA,,Spartan Glacier,,,,Butterworth et al. 1988,1988,,,,,
9494,27534,Aptian,Albian,121.4,NA,,100.5,NA,,NA,NA,,Pluto Glacier,,,,Butterworth et al. 1988,1988,,,,,
9632,27675,Berriasian,,143.1,NA,,137.05,NA,,NA,NA,,Rogozno,,,,Marek 1989,1989,,,,,
9648,27692,Valanginian,,137.05,NA,,132.6,NA,,NA,NA,,Bodzanow,,,,Marek 1989,1989,,,,,
9680,27725,Hauterivian,,132.6,NA,,125.77,NA,,NA,NA,,Wloclawek,,,,Marek 1989,1989,,,,,
9687,27733,Middle Albian,,110.1,NA,,106.3,NA,,NA,NA,,Mogilno,,,,Marek 1989,1989,,,,,
9746,27793,Valanginian,,137.05,NA,,132.6,NA,,NA,NA,,Mraznica,,,,Michalik and Vasicek 1989,1989,,,,,
9760,27867,Hauterivian,,132.6,NA,,125.77,NA,,NA,NA,,Kaliste,,,,Michalik and Vasicek 1989,1989,,,,,
9790,27897,Cenomanian,,100.5,NA,,93.9,NA,,NA,NA,,Eagle Ford,,,,Stephenson 1955,1955,,,,,
9814,27922,Barremian,,125.77,NA,,121.4,NA,,NA,NA,,Luckovska,,,,Michalik and Vasicek 1989,1989,,,,,
9977,28104,Berriasian,,143.1,NA,,137.05,NA,,NA,NA,,Cabonera,,,,Imlay 1940,1940,,,,,
9978,28107,Berriasian,,143.1,NA,,137.05,NA,,NA,NA,,Carbonera,,,,Imlay 1940,1940,,,,,
10017,28155,Valanginian,Hauterivian,137.05,NA,,125.77,NA,,NA,NA,,Taraises,,,,Imlay 1940,1940,,,,,
10027,28165,Barremian,,125.77,NA,,121.4,NA,,NA,NA,,Cupido,,,,Imlay 1940,1940,,,,,
10941,30266,Early Valanginian,,137.05,NA,,132.6,NA,,NA,NA,,Vuache,,,,Jaccard 1869,1869,,,,,
11154,30697,Albian,,113.2,NA,,100.5,NA,,NA,NA,,Perte du Rhône,,,,Jaccard 1869,1869,,,,,
11229,30792,Valanginian,,137.05,NA,,132.6,NA,,NA,NA,,Mergel and Kalk Zone,,,,Haefeli et al. 1965,1965,,,,,
11255,30824,Valanginian,,137.05,NA,,132.6,NA,,NA,NA,,Marbre Batard,,,,Haefeli et al. 1965,1965,,,,,
11268,30841,Valanginian,,137.05,NA,,132.6,NA,,NA,NA,,Couche de Villers,,,,Haefeli et al. 1965,1965,,,,,
11341,31018,Hauterivian,,132.6,NA,,125.77,NA,,NA,NA,,Zone de Pierre jaune,,,,Haefeli et al. 1965,1965,,,,,
11371,31273,Hauterivian,,132.6,NA,,125.77,NA,,NA,NA,,Alikper,,,,Bugrova 1990,1990,,,,,
11505,31457,Early Barremian,,125.77,NA,,121.4,NA,,NA,NA,,Moutonianum,,,,Company et al. 1995,1995,,,,,
12138,32102,Hauterivian,,132.6,NA,,125.77,NA,,NA,NA,,Buchia Ridge,,,,Hoare and Coonrad 1983,1983,,,,,
12153,32117,Valanginian,,137.05,NA,,132.6,NA,,NA,NA,,Ungalikthluk Belt,,,,Hoare and Coonrad 1983,1983,,,,,
12156,32120,Valanginian,,137.05,NA,,132.6,NA,,NA,NA,,Mount Oratia,,,,Hoare and Coonrad 1983,1983,,,,,
12172,32151,Valanginian,,137.05,NA,,132.6,NA,,NA,NA,,Eek Mountain,,,,Hoare and Coonrad 1983,1983,,,,,
12439,32701,Lutetian,,48.07,NA,,41.03,NA,,NA,NA,,Weches,,,,Ivany 1997,1997,,,,,
12478,32759,Lutetian,Bartonian,48.07,NA,,37.71,NA,,NA,NA,,Crockett,Stone City,,,Ivany 1997,1997,,,,,
12544,32834,Lutetian,,48.07,NA,,41.03,NA,,NA,NA,,Kosciusko,Doby's Bluff Tongue,,,Ivany 1997,1997,,,,,
13637,34230,Berriasian,,143.1,NA,,137.05,NA,,NA,NA,,Paksa,Lower,,,"Saks, ed 1975",1975,,,,,
14232,35248,Barremian,,125.77,NA,,121.4,NA,,NA,NA,,Qishn,Orbitolina Limestone,,,Howarth and Morris 1998,1998,,,,,
14257,35353,Berriasian,,143.1,NA,,137.05,NA,,NA,NA,,Hajar,Mintaq,,,Howarth and Morris 1998,1998,,,,,
14336,36630,Cenomanian,,100.5,NA,,93.9,NA,,NA,NA,,Greenhorn Limestone,Bridge Creek Limestone,,,Elder 1987,1987,,,,,
14432,36993,Danian,,66,NA,,61.66,NA,,NA,NA,,Clayton,lower,,,Toulmin 1977,1977,,,,,
14600,37475,Danian,,66,NA,,61.66,NA,,NA,NA,,Porters Creek,lower,,,Toulmin 1977,1977,,,,,
14796,38687,Paleocene,,66,NA,,56,NA,,NA,NA,,Naheola,Oak Hill,,,Toulmin 1977,1977,,,,,
14994,39524,Cenomanian,,100.5,NA,,93.9,NA,,NA,NA,,Mancos Shale,,,,Elder 1987,1987,,,,,
15292,40022,Thanetian,,59.24,NA,,56,NA,,NA,NA,,Vincentown,,,,Cook and Ramsdell 1991,1991,,,,,
15351,40172,Paleocene,,66,NA,,56,NA,,NA,NA,,Hückelhoven,,,,Anderson 1973,1973,,,,,
15436,40261,Paleocene,,66,NA,,56,NA,,NA,NA,,Lellinge Greensand,,,,Anderson 1975,1975,,,,,
15449,40329,Late Campanian,Maastrichtian,83.6,NA,,66,NA,,NA,NA,,Lopez de Bertodano,,,,Macellari 1988,1988,,,,,
15452,40345,Late Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,Dakhla,,,,Kassab et al. 1995,1995,,,,,
15457,40350,Early Paleocene,,66,NA,,61.66,NA,,NA,NA,,Kurkur,,,,Kassab et al. 1995,1995,,,,,
15717,40768,Early Paleocene,,66,NA,,61.66,NA,,NA,NA,,Sobral,,,,Macellari 1988,1988,,,,,
15936,41281,Early Eocene,,56,NA,,48.07,NA,,NA,NA,,London Clay,,,,Bone and King 1992,1992,,,,,
16043,41451,Middle Eocene,,48.07,NA,,37.71,NA,,NA,NA,,Barton Clay,,,,Cordiner and Bone 1986,1986,,,,,
16343,41928,Late Cenomanian,,100.5,NA,,93.9,NA,,NA,NA,,Tropic Shale,,,,Elder 1987,1987,,,,,
16374,41969,Middle Eocene,Late Eocene,48.07,NA,,33.9,NA,,NA,NA,,Qasr el-Sagha,,,,Roman and Strougo 1987,1987,,,,,
16408,42045,Lutetian,,48.07,NA,,41.03,NA,,NA,NA,,Qarara,,,,Strougo and Azab 1982,1982,,,,,
16415,42142,Early Eocene,,56,NA,,48.07,NA,,NA,NA,,Thebes,,,,Strougo and Abul-Nasr 1981,1981,,,,,
16711,44197,Bartonian,,41.03,NA,,37.71,NA,,NA,NA,,Sables a Nummulites variolarius,,,,Morellet and Morellet 1945,1945,,,,,
17203,44868,Priabonian,,37.71,NA,,33.9,NA,,NA,NA,,Ocala Limestone,,,,Toulmin 1977,1977,,,,,
17206,44879,Priabonian,,37.71,NA,,33.9,NA,,NA,NA,,Inglis Limestone,,,,Toulmin 1977,1977,,,,,
17283,45069,Priabonian,,37.71,NA,,33.9,NA,,NA,NA,,Crystal River Limestone,,,,Toulmin 1977,1977,,,,,
17331,45281,Late Santonian,,85.7,NA,,83.6,NA,,NA,NA,,Eutaw,Tombigbee Sand,,,Kennedy and Cobban 1991,1991,,,,,
17347,45297,Campanian,,83.6,NA,,72.2,NA,,NA,NA,,Mooreville Chalk,,,,Kennedy and Cobban 1991,1991,,,,,
17356,45319,Early Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,Duwi,,,,Kassab and Mohamed 1996,1996,,,,,
17404,45444,Early Campanian,,83.6,NA,,72.2,NA,,NA,NA,,Anacacho Limestone,,,,Elder 1996,1996,,,,,
17487,45541,Middle Campanian,,83.6,NA,,72.2,NA,,NA,NA,,Pecan Gap Chalk,,,,Elder 1996,1996,,,,,
17572,45810,Campanian,Early Maastrichtian,83.6,NA,,66,NA,,NA,NA,,Kahuitara Tuff,,,,Stilwell 1997,1997,,,,,
17750,46169,Priabonian,,37.71,NA,,33.9,NA,,NA,NA,,Neerrepen Sands,,,,Deville 1996,1996,,,,,
17981,46466,Turonian,,93.9,NA,,89.8,NA,,NA,NA,,Tuffeau jaune de Touraine,,,,Jarvis et al. 1982,1982,,,,,
17982,46472,Coniacian,,89.8,NA,,85.7,NA,,NA,NA,,Craie de Villedieu,Calcaire dur dela Ribochere,,,Jarvis et al. 1982,1982,,,,,
18084,46868,Late Cenomanian,,100.5,NA,,93.9,NA,,NA,NA,,Raha,,,,Kassab and Ismael 1994,1994,,,,,
18094,46900,Late Cenomanian,Early Turonian,100.5,NA,,89.8,NA,,NA,NA,,Abu Qada,,,,Kassab and Ismael 1994,1994,,,,,
18109,46947,Early Turonian,,93.9,NA,,89.8,NA,,NA,NA,,Wata,,,,Kassab and Ismael 1994,1994,,,,,
18116,46992,Santonian,,85.7,NA,,83.6,NA,,NA,NA,,Matulla,,,,Kassab and Ismael 1994,1994,,,,,
18170,47149,Cenomanian,,100.5,NA,,93.9,NA,,NA,NA,,Khatiyah,,,,Metwally 1994,1994,,,,,
18189,47168,Cenomanian,,100.5,NA,,93.9,NA,,NA,NA,,Mishrif,,,,Metwally 1994,1994,,,,,
18371,47598,Early Turonian,,93.9,NA,,89.8,NA,,NA,NA,,Mungo River,,,,Riedel 1933,1933,,,,,
18423,47982,Middle Campanian,,83.6,NA,,72.2,NA,,NA,NA,,Coffee Sand,Tupelo Tongue,,,Dockery and Jennings 1988,1988,,,,,
18428,47987,Middle Campanian,Late Campanian,83.6,NA,,72.2,NA,,NA,NA,,Marshalltown,,,,Bernstein 1988,1988,,,,,
18521,48089,Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,Aqra Limestone,,,,Hanna 1995,1995,,,,,
18523,48095,Early Campanian,,83.6,NA,,72.2,NA,,NA,NA,,Ladd,Holz Shale,,1934,Elder and Saul 1996,1996,,,,,
18526,48098,Coniacian,,89.8,NA,,85.7,NA,,NA,NA,,Redding,Hooten Gulch,,1959,Elder and Saul 1996,1996,,,,,
18527,48099,Early Campanian,,83.6,NA,,72.2,NA,,NA,NA,,Chico,Tenmile,,1952,Elder and Saul 1996,1996,,,,,
18532,52590,Late Cenomanian,,100.5,NA,,93.9,NA,,NA,NA,,Sables du Perche,,,,Hardenbol et al. 1993,1993,,,,,
18541,52623,Middle Cenomanian,,100.5,NA,,93.9,NA,,NA,NA,,Theligny Chalk,,,,Hardenbol et al. 1993,1993,,,,,
18547,52629,Middle Cenomanian,,100.5,NA,,93.9,NA,,NA,NA,,Craie de Rouen,,,,Hardenbol et al. 1993,1993,,,,,
18561,52650,Early Cenomanian,,100.5,NA,,93.9,NA,,NA,NA,,Sables du Lamnay,,,,Hardenbol et al. 1993,1993,,,,,
18572,52675,Early Cenomanian,,100.5,NA,,93.9,NA,,NA,NA,,Saint Jouin,,,,Hardenbol et al. 1993,1993,,,,,
18613,52787,Early Cenomanian,,100.5,NA,,93.9,NA,,NA,NA,,Baddeckenstedt,,,,Lehmann 1999,1999,,,,,
18631,52805,Middle Cenomanian,,100.5,NA,,93.9,NA,,NA,NA,,Brochterbeck,,,,Lehmann 1999,1999,,,,,
18684,52862,Late Cenomanian,,100.5,NA,,93.9,NA,,NA,NA,,Holywell Nodular Chalk,Plenus Marls,,,Jefferies 1961,1961,,,,,
18714,52921,Early Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,Chiwapa,upper,,,Sohl and Koch 1983,1983,,,,,
19295,53611,Late Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,Owl Creek,,,,Sohl and Koch 1983,1983,,,,,
19813,54163,Late Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,Prairie Bluff,lower,,,Sohl and Koch 1983,1983,,,,,
23057,57936,Early Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,Providence,lower,,,Sohl and Koch 1983,1983,,,,,
23951,58917,Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,Ripley,lower,,,Sohl and Koch 1983,1983,,,,,
26423,61635,Late Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,Peedee,lower,,,Sohl and Koch 1987,1987,,,,,
26943,62246,Late Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,Severn,upper,,,Sohl and Koch 1987,1987,,,,,
27888,63267,Late Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,Tinton,,,,Sohl and Koch 1987,1987,,,,,
27919,63302,Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,Sandy Hook,lower,,,Sohl and Koch 1987,1987,,,,,
28263,63680,Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,Arkadelphia marl,,,,Sohl and Koch 1984,1984,,,,,
28315,63750,Late Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,Corsicana Marl,,,,Sohl and Koch 1984,1984,,,,,
30071,65799,Late Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,Escondido,lower,,,Sohl and Koch 1984,1984,,,,,
31194,67193,Cenomanian,,100.5,NA,,93.9,NA,,NA,NA,,Woodbine,Lewisville,,,Stephenson 1952,1952,,,,,
31509,67530,Middle Cenomanian,Late Cenomanian,100.5,NA,,93.9,NA,,NA,NA,,Lewisville,,,,Stephenson 1952,1952,,,,,
31592,68125,Lutetian,,48.07,NA,,41.03,NA,,NA,NA,,Blue Bluff,,,,Hulbert et al. 1998,1998,,,,,
31596,68139,Chattian,,27.3,NA,,23.04,NA,,NA,NA,,Lincoln Creek,,,,Rigby and Goedert 1996,1996,,,,,
31606,68169,Late Campanian,,83.6,NA,,72.2,NA,,NA,NA,,Krasnoyarka,,,,Kase and Shigeta 1996,1996,,,,,
31621,68186,Middle Turonian,,93.9,NA,,89.8,NA,,NA,NA,,Saku,,,,Kase and Shigeta 1996,1996,,,,,
31632,68239,Rupelian,,33.9,NA,,27.3,NA,,NA,NA,,River Bend,Lower,,,Rossbach and Carter 1991,1991,,,,,
31671,68306,Lutetian,,48.07,NA,,41.03,NA,,NA,NA,,Warley Hill,lower,,,Kensley and Williams 1990,1990,,,,,
31676,68313,Kaiatan,,39.1,NA,,36.7,NA,,NA,NA,,Island Sandstone,,,,Feldmann and Maxwell 1990,1990,,,,,
31685,68354,Early Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,Mutsuo,Azenotani Mudstone,,,Kase 1990,1990,,,,,
31706,68375,Early Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,Shindachi,,,,Kase 1990,1990,,,,,
31708,68377,Late Campanian,,83.6,NA,,72.2,NA,,NA,NA,,Seidan,,,,Kase 1990,1990,,,,,
31709,68378,Early Turonian,,93.9,NA,,89.8,NA,,NA,NA,,Chispa Summit,,,,Kennedy and Cobban 1990,1990,,,,,
31732,70219,Danian,,66,NA,,61.66,NA,,NA,NA,,Roca,,,,Feldmann et al. 1995,1995,,,,,
31770,70289,Late Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,Jagüel,,,,Feldmann et al. 1995,1995,,,,,
31829,70356,Late Albian,,106.3,NA,,100.5,NA,,NA,NA,,Paw Paw,,,,Lee 1996,1996,,,,,
31833,70368,Late Albian,,106.3,NA,,100.5,NA,,NA,NA,,Main Street Limestone,,,,Lee 1996,1996,,,,,
31835,70442,Lutetian,,48.07,NA,,41.03,NA,,NA,NA,,Chapelton,Guys Hill,,,Domning et al. 1997,1997,,,,,
31840,72209,Bartonian,,41.03,NA,,37.71,NA,,NA,NA,,Gosport Sand,,,,CoBabe and Allmon 1994,1994,,,,,
32363,73199,Lutetian,,48.07,NA,,41.03,NA,,NA,NA,,Santee Limestone,,,,Powell and Baum 1982,1982,,,,,
32521,73672,Priabonian,,37.71,NA,,33.9,NA,,NA,NA,,Tupelo Bay,Pregnall,,,Powell and Baum 1982,1982,,,,,
32568,73749,Late Eocene,,37.71,NA,,33.9,NA,,NA,NA,,Cross,,,,Powell and Baum 1982,1982,,,,,
32579,73763,Priabonian,,37.71,NA,,33.9,NA,,NA,NA,,New Bern,,,,Powell and Baum 1982,1982,,,,,
32589,73774,Bartonian,,41.03,NA,,37.71,NA,,NA,NA,,Castle Hayne,Comfort,,,Powell and Baum 1982,1982,,,,,
32651,74509,Ypresian,,56,NA,,48.07,NA,,NA,NA,,Bateque,,,,Squires and Demetrion 1992,1992,,,,,
32752,74784,Lutetian,,48.07,NA,,41.03,NA,,NA,NA,,Juncal,,,,Squires 1988,1988,,,,,
32866,74968,Ypresian,,56,NA,,48.07,NA,,NA,NA,,Crescent,,,,Squires and Goedert 1994,1994,,,,,
33332,75549,Rupelian,,33.9,NA,,27.3,NA,,NA,NA,,Red Bluff,,,,Dockery 1982,1982,,,,,
33362,75607,Danian,,66,NA,,61.66,NA,,NA,NA,,Kincaid,Littig,,,Hansen et al. 1993,1993,,,,,
33828,81207,Rupelian,,33.9,NA,,27.3,NA,,NA,NA,,Forest Hill,,,,Dockery 1982,1982,,,,,
33886,81448,Rupelian,,33.9,NA,,27.3,NA,,NA,NA,,Mint Spring,,,,Dockery 1982,1982,,,,,
34215,83212,Rupelian,,33.9,NA,,27.3,NA,,NA,NA,,Marianna Limestone,,,,Dockery 1982,1982,,,,,
34220,83919,Rupelian,,33.9,NA,,27.3,NA,,NA,NA,,Glendon Limestone,,,,Dockery 1982,1982,,,,,
34230,84047,Rupelian,,33.9,NA,,27.3,NA,,NA,NA,,Byram,,,,Dockery 1982,1982,,,,,
34386,84992,Early Campanian,,83.6,NA,,72.2,NA,,NA,NA,,Merchantville,,,,Owens et al. 1970,1970,,,,,
34388,84994,Early Campanian,,83.6,NA,,72.2,NA,,NA,NA,,Crosswicks Clay,,,,Owens et al. 1970,1970,,,,,
34646,85263,Early Campanian,,83.6,NA,,72.2,NA,,NA,NA,,Englishtown,,,,Owens et al. 1970,1970,,,,,
34968,85596,Late Campanian,,83.6,NA,,72.2,NA,,NA,NA,,Mount Laurel Sand,,,,Owens et al. 1970,1970,,,,,
35259,86088,Thanetian,,59.24,NA,,56,NA,,NA,NA,,Pebble Point,,,,Darragh 1997,1997,,,,,
35360,86199,Early Eocene,,56,NA,,48.07,NA,,NA,NA,,Dilwyn,,,,Darragh 1997,1997,,,,,
36673,89415,Cenomanian,,100.5,NA,,93.9,NA,,NA,NA,,Raritan,,,,Richards 1962,1962,,,,,
36714,89457,Late Albian,,106.3,NA,,100.5,NA,,NA,NA,,Blackdown Greensand,,,,Taylor et al. 1983,1983,,,,,
36956,91582,Priabonian,,37.71,NA,,33.9,NA,,NA,NA,,Yazoo,,,,Haasl and Hansen 1996,1996,,,,,
37670,97384,Bartonian,,41.03,NA,,37.71,NA,,NA,NA,,Stone City,,,,Nelson 1975,1975,,,,,
37897,97677,Late Campanian,,83.6,NA,,72.2,NA,,NA,NA,,Nacatoch Sand,,,,Stephenson 1941,1941,,,,,
37928,97711,Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,Kemp Clay,,,,Stephenson 1941,1941,,,,,
38084,97874,Early Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,Mexcala,,,,Perrilliat et al. 2000,2000,,,,,
38143,97933,Middle Campanian,,83.6,NA,,72.2,NA,,NA,NA,,Aguja,,,,Klein 1986,1986,,,,,
38797,98597,Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,Neylandville Marl,,,,Stephenson 1941,1941,,,,,
39240,99051,Early Campanian,Middle Campanian,83.6,NA,,72.2,NA,,NA,NA,,Wolfe City,,,,Sohl 1964,1964,,,,,
40460,100299,Campanian,,83.6,NA,,72.2,NA,,NA,NA,,Black Creek,,,,Sohl and Christopher 1983,1983,,,,,
40877,101266,Ypresian,,56,NA,,48.07,NA,,NA,NA,,Reklaw,Marquez Shale,,,Garvie 1996,1996,,,,,
41156,101715,Selandian,,61.66,NA,,59.24,NA,,NA,NA,,Ewekoro,,,,Adegoke 1977,1977,,,,,
41385,102032,Ypresian,Lutetian,56,NA,,41.03,NA,,NA,NA,,Llajas,,,,Squires 1983,1983,,,,,
41446,102367,Lutetian,,48.07,NA,,41.03,NA,,NA,NA,,Selsey,,,,Kemp 1976,1976,,,,,
41534,102458,Lutetian,,48.07,NA,,41.03,NA,,NA,NA,,Earnley,,,,King and King 1977,1977,,,,,
41562,102732,Early Paleocene,Middle Paleocene,66,NA,,59.24,NA,,NA,NA,,Woolwich and Reading,,,,Tracey 1986,1986,,,,,
42434,104695,Chattian,,27.3,NA,,23.04,NA,,NA,NA,,Upper Cyrena,,,,Baldi 1973,1973,,,,,
42688,113706,Bartonian,,41.03,NA,,37.71,NA,,NA,NA,,Drazinda,,,,Eames 1952,1952,,,,,
42689,113819,Ypresian,,56,NA,,48.07,NA,,NA,NA,,Ghazij,,,,Eames 1952,1952,,,,,
42690,113951,Ypresian,,56,NA,,48.07,NA,,NA,NA,,Shekhan,,,,Eames 1952,1952,,,,,
42691,117224,Early Oligocene,,33.9,NA,,27.3,NA,,NA,NA,,Calcaire Grossier d'Etrechy,,,,Gitton et al. 1986,1986,,,,,
42722,117256,Oligocene,,33.9,NA,,23.04,NA,,NA,NA,,Palizzi,Lower,,,Bouillin et al. 1985,1985,,,,,
42763,117335,Early Oligocene,,33.9,NA,,27.3,NA,,NA,NA,,Falun de Jeurs,,,,Gitton et al. 1986,1986,,,,,
42835,117408,Early Oligocene,,33.9,NA,,27.3,NA,,NA,NA,,Falun d'Auvers-Saint-Georges,,,,Gitton et al. 1986,1986,,,,,
43176,119386,Early Oligocene,,33.9,NA,,27.3,NA,,NA,NA,,Falun de Pierrefitte,,,,Gitton et al. 1986,1986,,,,,
43406,119620,Oligocene,,33.9,NA,,23.04,NA,,NA,NA,,Conglomerat de Pierrefitte,,,,Gitton et al. 1986,1986,,,,,
43469,123794,Chattian,,27.3,NA,,23.04,NA,,NA,NA,,Brejning Clay,,,,Schnetler and Beyer 1987,1987,,,,,
43509,123993,Chattian,,27.3,NA,,23.04,NA,,NA,NA,,Vejle Fjord,Brejning Clay,,,Schnetler and Beyer 1990,1990,,,,,
43547,125427,Cenomanian,,100.5,NA,,93.9,NA,,NA,NA,,Dakota Sandstone,Paguate Tongue,,,Sealey and Lucas 2000,2000,,,,,
43633,133006,Paleocene,,66,NA,,56,NA,,NA,NA,,Lodo,Moreno,,,Smith 1975,1975,,,,,
43708,133100,Late Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,Laguna Seca,,,,Smith 1975,1975,,,,,
43729,134910,Early Albian,,113.2,NA,,110.1,NA,,NA,NA,,Paluxy,,,,Atlee 1962,1962,,,,,
43734,134922,Early Albian,,113.2,NA,,110.1,NA,,NA,NA,,Walnut Clay,,,,Atlee 1962,1962,,,,,
43768,138849,Early Cenomanian,,100.5,NA,,93.9,NA,,NA,NA,,Bet Meir or Amminadav,,,,Polcyn et al. 1999,1999,,,,,
44679,149604,Campanian,Early Maastrichtian,83.6,NA,,66,NA,,NA,NA,,Marnes de plage,,,,Paris and Taquet 1973,1973,,,,,
