,occurrence_no,early_interval,late_interval,max_ma,max_ma_error,max_ma_method,min_ma,min_ma_error,min_ma_method,direct_ma_value,direct_ma_error,direct_ma_method,formation,member,spatial_resolution,collection_dates,ref_author,ref_pubyr,Late_Age,Early_Age,min_Ma,max_Ma,Ref
131037,1397336,Early Valanginian,,137.05,NA,,132.6,NA,,NA,NA,,Bodzanów,,,,Dziadzio et al. 2004,2004,,,,,
131054,1397353,Late Valanginian,,137.05,NA,,132.6,NA,,NA,NA,,Włocławek,,,,Dziadzio et al. 2004,2004,,,,,
131114,1398869,Late Eocene,,37.71,NA,,33.9,NA,,NA,NA,,Nestucca,,,,Hickman 2018,2018,,,,,
131195,1399484,Early Oligocene,,33.9,NA,,27.3,NA,,NA,NA,,Ashawq,Shizar,,2010,Al-Kindi et al. 2017,2017,,,,,
131248,1401023,Danian,,66,NA,,61.66,NA,,NA,NA,,Las Virgenes,,,3-Jun-10,Waring 1917,1917,,,,,
131336,1401773,Early Cenomanian,,100.5,NA,,93.9,NA,,NA,NA,,Kingongo Marls,,,,Kennedy and Morris 2018,2018,,,,,
131358,1401798,Early Cenomanian,,100.5,NA,,93.9,NA,,NA,NA,,Hibernian Greensands,Belfast Marls,,,Gale et al. 2018,2018,,,,,
131506,1404712,Priabonian,,37.71,NA,,33.9,NA,,NA,NA,,Wagonwheel,middle siltstone,,1994,Squires and Gring 1996,1996,,,,,
131868,1408968,Eocene,,56,NA,,33.9,NA,,NA,NA,,Cozy Dell,,,,Weaver and Kleinpell 1963,1963,,,,,
131885,1409456,Oligocene,,33.9,NA,,23.04,NA,,NA,NA,,Lincoln,,,1961,Durham and Zullo 1961,1961,,,,,
131899,1415589,Eocene,,56,NA,,33.9,NA,,NA,NA,,Siletz River Volcanics ,,,,Hickman 1976,1976,,,,,
131957,1416930,Chattian,,27.3,NA,,23.04,NA,,NA,NA,,Yakataga,,,,Clark 1932,1932,,,,,
132015,1419378,Aptian,,121.4,NA,,113.2,NA,,NA,NA,,Yingzuilazi,,,,Li et al. 2018,2018,,,,,
132018,1421526,Aptian,,121.4,NA,,113.2,NA,,NA,NA,,Hengtongshan,,,,Wu et al. 2018,2018,,,,,
132026,1422875,Late Aptian,,119.57,NA,,113.2,NA,,NA,NA,,Sanganeh,,,,Lehmann et al. 2019,2019,,,,,
132095,1425562,Late Cenomanian,,100.5,NA,,93.9,NA,,NA,NA,,Tentúgal,Lower,,,Mateus et al. 2019,2019,,,,,
132185,1428402,Middle Campanian,,83.6,NA,,72.2,NA,,NA,NA,,Polány Marl,Rendek,,,Főzy 2001,2001,,,,,
132195,1428660,Late Campanian,,83.6,NA,,72.2,NA,,NA,NA,,Rio Grande Limestone,,,,Hennhoefer et al. 2012,2012,,,,,
132222,1431963,Late Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,Muwaddar Chalk Marl,,,,Jagt et al. 2019,2019,,,,,
132227,1432586,Late Paleocene,Early Eocene,59.24,NA,,48.07,NA,,NA,NA,,Goler,,,,Squires et al. 1988,1988,,,,,
132253,1433348,Thanetian,,59.24,NA,,56,NA,,NA,NA,,Tarawan,,,,Hewaidy et al. 2019,2019,,,,,
132258,1433353,Ypresian,,56,NA,,48.07,NA,,NA,NA,,El Rufuf,,,,Hewaidy et al. 2019,2019,,,,,
132261,1433394,Uintan,,45.9,NA,,39.7,NA,,NA,NA,,Colmena Tuff,lower sorted facies,,,Roth 1984,1984,,,,,
132265,1433398,Duchesnean,,39.7,NA,,37,NA,,NA,NA,,Chambers Tuff,,,,Roth 1984,1984,,,,,
132266,1433399,Late Uintan,,45.9,NA,,39.7,NA,,NA,NA,,Devil's Graveyard,Middle,,,Roth 1984,1984,,,,,
132287,1434114,Rupelian,,33.9,NA,,27.3,NA,,NA,NA,,Kirker,lower sandstone,,,Clark 1915,1915,,,,,
132288,1434178,Late Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,Taraklı,,,,Gormus et al. 2019,2019,,,,,
132694,1438018,Albian,,113.2,NA,,100.5,NA,,NA,NA,,Elrhaz,,parautochthonous,"1965–1966, 1970, 1973",Mongin and Lapparent 1968,1968,,,,,
132699,1438076,Lutetian,,48.07,NA,,41.03,NA,,NA,NA,,Mission Valley,,,,Kennedy and Moore 1971,1971,,,,,
132703,1438082,Lutetian,,48.07,NA,,41.03,NA,,NA,NA,,Delmar,,,,Givens and Kennedy 1976,1976,,,,,
132757,1438262,Lutetian,,48.07,NA,,41.03,NA,,NA,NA,,Mount Soledad,,,,Givens and Kennedy 1979,1979,,,,,
