"","occurrence_no","genus","ref_author","ref_pubyr"
"418",18117,"Pterotrigonia","Jablonski and Raup 1999",1999
"419",18118,"Popenoella","Jablonski and Raup 1999",1999
"421",18156,"Iotrigonia","Jablonski and Raup 1999",1999
"425",18163,"Patagocardia","Jablonski and Raup 1999",1999
"430",18198,"Paracaprinula","Jablonski and Raup 1999",1999
"432",18200,"Vautrinia","Jablonski and Raup 1999",1999
"433",18201,"Dubertretia","Jablonski and Raup 1999",1999
"441",18281,"Tarturia","Jablonski and Raup 1999",1999
"488",18654,"Coralliochama","Jablonski and Raup 1999",1999
"493",18672,"Trechmannites","Jablonski and Raup 1999",1999
"497",18676,"Thyrastylon","Jablonski and Raup 1999",1999
"499",18678,"Huasteca","Jablonski and Raup 1999",1999
"500",18679,"Tampsia","Jablonski and Raup 1999",1999
"502",18685,"Chiapasella","Jablonski and Raup 1999",1999
"512",18716,"Antillosarcolites","Jablonski and Raup 1999",1999
"519",18725,"Alencasterites","Jablonski and Raup 1999",1999
"541",18750,"Caprinula","Jablonski and Raup 1999",1999
"590",18875,"Incomatiella","Jablonski and Raup 1999",1999
"593",18913,"Skwarkoella","Jablonski and Raup 1999",1999
"625",19091,"Osculigera","Jablonski and Raup 1999",1999
"636",19189,"Birkelundita","Jablonski and Raup 1999",1999
"638",19279,"Myoconcha","Jablonski and Raup 1999",1999
"651",19375,"Pleuromya","Jablonski and Raup 1999",1999
"683",19751,"Tashiroella","Jablonski and Raup 1999",1999
"698",19789,"Kuehnia","Jablonski and Raup 1999",1999
"710",19804,"Kurtinia","Jablonski and Raup 1999",1999
"721",19830,"Pseudosabinia","Jablonski and Raup 1999",1999
"725",19841,"Dechaseauxia","Jablonski and Raup 1999",1999
"728",19844,"Hardaghia","Jablonski and Raup 1999",1999
"737",20070,"Dentalium","Elder 1981",1981
"759",21068,"Planorbis","Hansen 1978",1978
"834",23796,"Astandes","Gill et al. 1966",1966
"853",24462,"Conoteuthis","Casey 1961",1961
"854",24473,"Vectibelus","Casey 1961",1961
"858",24485,"Vectianella","Casey 1961",1961
"859",24494,"Colostracon (Ovactaeonina)","Casey 1961",1961
"860",24544,"Eurotrigonia","Casey 1961",1961
"866",24731,"Eomiodon","Casey 1961",1961
"871",24770,"Neohibolites","Casey 1961",1961
"875",24844,"Proveniella","Casey 1961",1961
"876",24847,"Myopholas","Casey 1961",1961
"878",24874,"Tortarctica","Casey 1961",1961
"879",24886,"Epicyprina","Casey 1961",1961
"883",24932,"Noelmorrisia","Casey 1961",1961
"884",25000,"Paosia","Murphy and Rodda 1960",1960
"896",25373,"Mulleria","Casey 1961",1961
"907",25601,"Atresius","Casey 1961",1961
"908",25608,"Toucasia","Casey 1961",1961
"909",25610,"Nerinea","Casey 1961",1961
"911",25682,"Isocyprina","Casey 1961",1961
"918",25800,"Notoscabrotrigonia","von der Osten 1957",1957
"920",25804,"Amphitriscoelus","von der Osten 1957",1957
"921",25814,"Prisconatica","von der Osten 1957",1957
"928",25832,"Hartwellia","Casey 1961",1961
"929",25919,"Neptunopecten","Casey 1961",1961
"933",25998,"Chartroniella","Cox 1954",1954
"934",25999,"Pseudomelania (Oonia)","Cox 1954",1954
"937",26020,"Arctica","Cox 1954",1954
"938",26046,"Caprinuloidea","Allison 1955",1955
"939",26047,"Eunerinea","Allison 1955",1955
"941",26051,"Nerinea (Plesioptygmatis)","Allison 1955",1955
"947",26077,"Alamirifica","Allison 1955",1955
"951",26081,"Aptyxiella (Aptyxiella)","Allison 1955",1955
"958",26121,"Nerinella","Allison 1955",1955
"964",26153,"Tanzanitrigonia","Allison 1955",1955
"968",26593,"Praescabrotrigonia","Scott 1970",1970
"973",26829,"Aviculopecten","Scott 1970",1970
"992",27313,"Lamellaptychus","Borza et al. 1984",1984
"993",27319,"Phylloceras","Borza et al. 1984",1984
"994",27320,"Anahamulina","Borza et al. 1984",1984
"996",27325,"Partschiceras","Borza et al. 1984",1984
"999",27336,"Duvalia","Borza et al. 1984",1984
"1004",27500,"Haplophylloceras","Butterworth et al. 1988",1988
"1005",27504,"Myophorella","Butterworth et al. 1988",1988
"1006",27511,"Belemnopsis","Butterworth et al. 1988",1988
"1010",27541,"Dimitobelus (Tetrabelus)","Butterworth et al. 1988",1988
"1011",27542,"Peratobelus","Butterworth et al. 1988",1988
"1013",27605,"Matheronia","Dhondt and Dieni 1989",1989
"1016",27714,"Oxyteuthis","Marek 1989",1989
"1023",27893,"Pseudobelus","Michalik and Vasicek 1989",1989
"1024",27894,"Vaunagites","Michalik and Vasicek 1989",1989
"1028",27902,"Pseudomelania","Stephenson 1955",1955
"1029",27912,"Hibolites","Michalik and Vasicek 1989",1989
"1047",27941,"Conohibolites","Michalik and Vasicek 1989",1989
"1052",27946,"Mesohibolites","Michalik and Vasicek 1989",1989
"1061",28136,"Trapezium","Imlay 1940",1940
"1065",28219,"Rhynchoteuthis","Jaccard 1869",1869
"1084",28410,"Heminautilus","Jaccard 1869",1869
"1092",28501,"Itieria","Jaccard 1869",1869
"1101",28537,"Cryptoplocus","Jaccard 1869",1869
"1114",28719,"Pseudocassis","Jaccard 1869",1869
"1130",29175,"Tamaragonia","Jaccard 1869",1869
"1134",29219,"Avicula","Jaccard 1869",1869
"1165",30049,"Acteonina","Jaccard 1869",1869
"1173",30170,"Cypricardia","Jaccard 1869",1869
"1177",30191,"Requienia","Jaccard 1869",1869
"1178",30266,"Castellanibelus","Jaccard 1869",1869
"1197",30496,"Neritopsis","Jaccard 1869",1869
"1214",30806,"Tornatella","Haefeli et al. 1965",1965
"1220",30841,"Belemnites","Haefeli et al. 1965",1965
"1238",31322,"Phyllopachyceras","Company et al. 1995",1995
"1240",31327,"Hamulina","Company et al. 1995",1995
"1241",31329,"Phylloceras (Hypophylloceras)","Company et al. 1995",1995
"1286",31476,"Salfeldiella","Company et al. 1995",1995
"1464",32400,"Cylindroteuthis","Saks, ed 1975",1975
"1469",32433,"Lagonibelus","Saks, ed 1975",1975
"1472",32474,"Acroteuthis","Saks, ed 1975",1975
"1494",32602,"Pachyteuthis","Saks, ed 1975",1975
"1515",32769,"Cyclostremiscus","Ivany 1997",1997
"1516",32795,"Tripia","Ivany 1997",1997
"1526",33095,"Vitrinella","Ivany 1997",1997
"1542",33541,"Tornus","Ivany 1997",1997
"1675",34877,"Bogoslovskya","Saks, ed 1975",1975
"1710",35351,"Chondrodonta","Howarth and Morris 1998",1998
"1711",35361,"Heterodiceras","Howarth and Morris 1998",1998
"1712",35362,"Arctostrea","Howarth and Morris 1998",1998
"1714",35784,"Syrotrigonia","Howarth and Morris 1998",1998
"1716",35816,"Laevaptychus","Howarth and Morris 1998",1998
"1719",37032,"Hercoglossa","Toulmin 1977",1977
"1722",37059,"Cimomia","Toulmin 1977",1977
"1748",38591,"Exilia","Toulmin 1977",1977
"1758",40037,"Pyropsis","Cook and Ramsdell 1991",1991
"1768",40195,"Circulus","Anderson 1975",1975
"1784",40551,"Laevitrigonia","Macellari 1988",1988
"1788",41214,"Petalocardia","Bone et al. 1991",1991
"1789",41222,"Dentalium (Pseudantilis)","Bone et al. 1991",1991
"1790",41225,"Belosepia","Bone et al. 1991",1991
"1796",41334,"Bartonia","Cooper 1985",1985
"1797",41346,"Spiratella","Cooper 1985",1985
"1798",41347,"Antalis","Cooper 1985",1985
"1802",41409,"Deltoidonautilus","Bone 1985",1985
"1806",41511,"Skaptotion","Cordiner and Bone 1986",1986
"1811",41648,"Entomope","Jeffery and Tracey 1997",1997
"1812",41678,"Amalda","Pacaud et al. 2013",2013
"1817",41739,"Adeorbis","Jeffery and Tracey 1997",1997
"1818",41774,"Sinustomia","Jeffery and Tracey 1997",1997
"1826",42303,"Aturia","Clark and Durham 1946",1946
"1827",42305,"Akera","Clark and Durham 1946",1946
"1831",44235,"Cyrena","Morellet and Morellet 1945",1945
"1834",44297,"Siphonodentalium","Morellet and Morellet 1945",1945
"1838",44351,"Lapparentia","Morellet and Morellet 1945",1945
"1839",44352,"Stenothyra","Morellet and Morellet 1945",1945
"1841",44472,"Spirancilla","Morellet and Morellet 1945",1945
"1845",44603,"Fustiaria","Toulmin 1977",1977
"1853",44848,"Polyschides","Toulmin 1977",1977
"1856",45291,"Spinaptychus","Kennedy and Cobban 1991",1991
"1872",45556,"Distefanella","Elder 1996",1996
"1881",45858,"Protodolium","Stilwell 1997",1997
"1883",45868,"Dimitobelus (Dimitocamax)","Stilwell 1997",1997
"1888",45923,"Dimitobelus (Dimitobelus)","Stilwell 1997",1997
"1906",46363,"Neoptyxis","Calzada and Mar Urquiola 1995",1995
"1908",46381,"Vertinomia","Calzada 1996",1996
"1909",46394,"Ptygmatis","Kollmann 1985",1985
"1911",46419,"Globiconcha","Kollmann 1985",1985
"1912",46430,"Promathildia","Kollmann 1985",1985
"1913",46432,"Diconomorpha","Kollmann 1985",1985
"1929",47051,"Darendeella","Gallemi et al. 1997",1997
"1941",47221,"Aplocus","Pojarkova 1984",1984
"1942",47222,"Itruvia","Pojarkova 1984",1984
"1943",47235,"Bogdanovaella","Pojarkova 1984",1984
"1945",47428,"Ascensovoluta","Pojarkova 1984",1984
"1946",47508,"Sokolovskya","Pojarkova 1984",1984
"1948",47521,"Ovactaeonella","Pojarkova 1984",1984
"1969",52769,"Himeraelites","Masse et al. 1998",1998
"1971",52771,"Kugleria","Masse et al. 1998",1998
"1972",52773,"Eoradiolites","Masse et al. 1998",1998
"1978",52828,"Actinocamax","Lehmann 1999",1999
"1980",52830,"Belemnocamax","Lehmann 1999",1999
"1984",52938,"Eufistulina","Sohl and Koch 1983",1983
"2035",53586,"Weeksia","Sohl and Koch 1983",1983
"2040",53660,"Teinostoma (Idioraphie)","Sohl and Koch 1983",1983
"2052",53798,"Hercorhynchus","Sohl and Koch 1983",1983
"2057",53858,"Eoacteon","Sohl and Koch 1983",1983
"2061",53919,"Anteglossia","Sohl and Koch 1983",1983
"2099",54342,"Belemnitella","Sohl and Koch 1983",1983
"2196",55436,"Medionapus","Sohl and Koch 1983",1983
"2211",55581,"Hercorhynchus (Hercorhyncus)","Sohl and Koch 1983",1983
"2516",59160,"Promathilda (Clathrobaculus)","Sohl and Koch 1983",1983
"2558",59667,"Nozeba","Sohl and Koch 1983",1983
"2589",60025,"Troostella","Sohl and Koch 1983",1983
"3136",67291,"Hillites","Stephenson 1952",1952
"3143",67512,"Pollex","Stephenson 1952",1952
"3146",67575,"Fictoacteon","Stephenson 1952",1952
"3148",68139,"Provanna","Rigby and Goedert 1996",1996
"3149",68140,"Chiton","Rigby and Goedert 1996",1996
"3150",68192,"Neophylloceras","Kase and Shigeta 1996",1996
"3151",68268,"Clavidrupa","Rossbach and Carter 1991",1991
"3156",68359,"Pseudoperissitys","Kase 1990",1990
"3158",68365,"Nekewis","Kase 1990",1990
"3176",73779,"Belosaepia","Powell and Baum 1982",1982
"3182",74832,"Coccodentalium","Squires 1988",1988
"3239",83002,"Coralliophaga","Dockery 1982",1982
"3294",85555,"Ripleyella","Owens et al. 1970",1970
"3327",85860,"Parietiplicatum","Owens et al. 1970",1970
"3336",86101,"Columbarium","Darragh 1997",1997
"3337",86102,"Microfulgur","Darragh 1997",1997
"3338",86115,"Priscaphander","Darragh 1997",1997
"3340",86119,"Fissidentalium","Darragh 1997",1997
"3341",86120,"Compressidens","Darragh 1997",1997
"3342",86121,"Gadila","Darragh 1997",1997
"3343",86123,"Aturoidea","Darragh 1997",1997
"3346",86159,"Raulinia","Darragh 1997",1997
"3357",86200,"Superstes","Darragh 1997",1997
"3382",88494,"Unio","Stephenson 1952",1952
"3424",89446,"Ambonicardia","Richards 1962",1962
"3426",89483,"Culmia","Taylor et al. 1983",1983
"3434",89583,"Semipirum","Taylor et al. 1983",1983
"3435",89586,"Tantunia","Taylor et al. 1983",1983
"3440",94608,"Bovicornu","Haasl and Hansen 1996",1996
"3461",95349,"Spiradaphne","MacNeil and Dockery 1984",1984
"3464",95363,"Discopsis","MacNeil and Dockery 1984",1984
"3492",96414,"Lepidopleurus","Bielokrys 2000",2000
"3510",97748,"Ceratia","Dockery 1993",1993
"3513",97790,"Neamphitomaria","Dockery 1993",1993
"3518",97808,"Streptacis","Dockery 1993",1993
"3522",97895,"Holospira","Perrilliat et al. 2000",2000
"3596",99065,"Haplovoluta","Sohl 1964",1964
"3703",101291,"Tenuimactra","Garvie 1996",1996
"3714",101591,"Pseudometula","Garvie 1996",1996
"3715",101645,"Trimalaxis","Garvie 1996",1996
"3718",101715,"Dentalium (Laevidentalium)","Adegoke 1977",1977
"3721",101902,"Vincenturris","Adegoke 1977",1977
"3722",101903,"Clinuropsis","Adegoke 1977",1977
"3724",101945,"Sootryenella","Adegoke 1977",1977
"3726",101995,"Kitsonia","Adegoke 1977",1977
"3731",102016,"Cimomia (Afrocimomia)","Adegoke 1977",1977
"3738",102438,"Pachysyrnola","Kemp 1976",1976
"3744",102746,"Valvata","Tracey 1986",1986
"3745",102747,"Hydrobia","Tracey 1986",1986
"3746",102748,"Bythinella","Tracey 1986",1986
"3748",102752,"Pasitheola","Tracey 1986",1986
"3757",103726,"Coluzea","Tracey et al. 1996",1996
"3758",103757,"Nipteraxis","Tracey et al. 1996",1996
"3759",103836,"Straelenotrapezium","Tracey et al. 1996",1996
"3761",103858,"Lobantale","Tracey et al. 1996",1996
"3763",103925,"Stenoplax","Tracey et al. 1996",1996
"3766",103982,"Cavilabium","Tracey et al. 1996",1996
"3773",103994,"Episcynia","Tracey et al. 1996",1996
"3774",104164,"Graphis","Tracey et al. 1996",1996
"3775",104200,"Pseudocominella","Tracey et al. 1996",1996
"3790",104603,"Episiphon","Tracey et al. 1996",1996
"3794",104607,"Vasseuria","Tracey et al. 1996",1996
"3795",104608,"Beloptera","Tracey et al. 1996",1996
"3808",110354,"Tortoliva","Baldi 1973",1973
"3815",117435,"Cirsope","Gitton et al. 1986",1986
"3817",117437,"Pseudamnicola","Gitton et al. 1986",1986
"3821",117615,"Neptunea (Trophonopsis)","Gitton et al. 1986",1986
"3822",117623,"Taphrostomia","Gitton et al. 1986",1986
"3826",117872,"Stenothyrella","Gitton et al. 1986",1986
"3838",123832,"Pygocardia","Schnetler and Beyer 1987",1987
"3839",123948,"Rhabdus","Schnetler and Beyer 1987",1987
"3840",123949,"Dischides","Schnetler and Beyer 1987",1987
"3849",133056,"Physa","Smith 1975",1975
"3852",133100,"Perissitys","Smith 1975",1975
"3866",139137,"Calliphylloceras","Cecca et al. 1989",1989
"3867",139138,"Holcophylloceras","Cecca et al. 1989",1989
"3868",139139,"Ptychophylloceras","Cecca et al. 1989",1989
"3944",144373,"Praeactinocamax","Keller 1982",1982
"3945",145564,"Phylloceras (Phylloceras)","Dieni et al. 1973",1973
"3951",145994,"Medeella","Klinghardt 1943",1943
"3957",146004,"Euphylloceras","Dieni et al. 1973",1973
"3969",157305,"Dentalium (Dentalium)","Stilwell and Henderson 2002",2002
"3970",157306,"Laevidentalium","Stilwell and Henderson 2002",2002
"3971",200401,"Loparia","Pacaud et al. 2000",2000
"3974",200458,"Briardia","Pacaud et al. 2000",2000
"3977",200488,"Houzeauia","Pacaud et al. 2000",2000
"3979",200501,"Berthella","Pacaud et al. 2000",2000
"3981",204131,"Elliptio (Plesielliptio)","Russell 1974",1974
"3982",204132,"Sphaerium","Russell 1974",1974
"3993",205049,"Rhabdotophorus","Russell 1974",1974
"4004",205119,"Hydrobia (Peringia)","Glibert 1973",1973
"4009",205125,"Bouryia","Glibert 1973",1973
"4011",205131,"Goniatogyra","Glibert 1973",1973
"4019",205318,"Tiberia","Glibert 1973",1973
"4021",205332,"Coemansia","Glibert 1973",1973
"4022",205363,"Pythia","Glibert 1973",1973
"4028",205465,"Grandipatula","Kollmann and Peel 1983",1983
"4036",205659,"Chevallieria","Kollmann and Peel 1983",1983
"4045",205833,"Douvilleia","Kollmann and Peel 1983",1983
"4050",232202,"Milovanovicia","Ruberti 1997",1997
"4052",232204,"Jerinella","Ruberti 1997",1997
"4072",232272,"Caprina","Wilmsen 1996",1996
"4073",244902,"Gorjanovicia","Moro 1997",1997
"4080",244959,"Sellaea","Masse et al. 1997",1997
"4087",245118,"Coalcomana","Scott 1981",1981
"4088",245119,"Pseudopetalodontia","Scott 1981",1981
"4109",251360,"Maackia","Huzioka and Takahasi 1970",1970
"4113",255473,"Myrene","Azuma et al. 1992",1992
"4118",256595,"Trigonioides","Buffetaut et al. 2008",2008
"4123",260088,"Megadiceras","Csázár and Turnsek 1996",1996
"4137",279004,"Adansonella","Glibert and van de Poel 1973",1973
"4139",279018,"Neocaprina","Sari and Ozer 2002",2002
"4153",284208,"Fedaiella","Krach 1963",1963
"4164",286804,"Gyraulus","Gingerich 1989",1989
"4178",292580,"Maizania","Pickford and Andrews 1981",1981
"4211",297950,"Fortuna","Wilf 2000",2000
"4228",343018,"Protelliptio","Miller 1964",1964
"4233",343535,"Costocyrena","Matsukawa and Obata 1985",1985
"4234",343536,"Protocyprina","Matsukawa and Obata 1985",1985
"4235",343537,"Nippononaia","Matsukawa and Obata 1985",1985
"4243",365044,"Trechmannella","Meric and DeVries 1966",1966
"4251",366642,"Katzeria","Caffau et al. 1992",1992
"4256",366655,"Eodictyoptychus","Skelton and El-Asa'ad 1992",1992
"4260",366882,"Pachytraga","Baron-Szabo and Steuber 1996",1996
"4263",366886,"Offneria","Baron-Szabo and Steuber 1996",1996
"4269",367417,"Rajka","Sanders 2001",2001
"4288",372514,"Brocchinia","Schnetler 2001",2001
"4301",373766,"Cyclodostomia","Schnetler 2001",2001
"4312",373910,"Actaeopyramis","Schnetler 2001",2001
"4324",385821,"Pterotrigonia (Pterotrigonia)","Kelly 1995",1995
"4325",385822,"Mayesella","Kelly 1995",1995
"4335",386370,"Snatolia","Oleinik 2001",2001
"4340",386432,"Neptunea","Oleinik 2001",2001
"4344",387027,"Hippeutis","Xu et al. 1998",1998
"4349",387078,"Ferganoconcha","Xu et al. 1998",1998
"4358",387734,"Aulacoteuthis","Immel and Mutterlose 1980",1980
"4374",389677,"Dimitobelus","Speden 1973",1973
"4390",391376,"Bruclarkia","Clark 1981",1981
"4391",391414,"Radix","Hugueney et al. 1971",1971
"4398",391714,"Solamen","Addicott 1976",1976
"4420",392499,"Eosiphonalia","Moore 1976",1976
"4421",392511,"Dentalium (Fissidentalium)","Moore 1976",1976
"4441",392792,"Steinmanella","Aguirre-Urreta and Rawson 1999",1999
"4475",394771,"Vallonia","Kadolsky 1975",1975
"4488",405193,"Pseudotoucasia","Masse et al. 2002",2002
"4491",405633,"Lymnaea","Crusafont-Pairo and Golpe-Posse 1974",1974
"4493",405662,"Helix","Crusafont-Pairo and Golpe-Posse 1974",1974
"4494",405665,"Cyclotus","Keeping 1910",1910
"4496",405667,"Clausilia","Keeping 1910",1910
"4497",405668,"Achatina","Keeping 1910",1910
"4499",405677,"Amphidromus","Keeping 1910",1910
"4503",405690,"Cochlostoma","Hooker 1977",1977
"4504",405691,"Palaeoglandina","Hooker 1977",1977
"4505",405694,"Milax","Hooker 1977",1977
"4569",407954,"Triptychia","Roman 1970",1970
"4570",407955,"Bulimus","Roman 1970",1970
"4573",410223,"Shistodesmus","Hayami 1975",1975
"4574",410228,"Nakamuranaia","Hayami 1975",1975
"4577",410278,"Paranodonta","Hayami 1975",1975
"4578",410280,"Plicatounio","Hayami 1975",1975
"4583",410732,"Pseudotritonium","Wood 1846",1846
"4589",410788,"Ancylus","Wood 1846",1846
"4603",410829,"Succinea","Wood 1846",1846
"4636",412423,"Belemnella","Kovaleva et al. 1982",1982
"4650",413110,"Pterotrigonia (Acanthotrigonia)","Hayami 1975",1975
"4651",413779,"Galba","Cray 1973",1973
"4652",413780,"Planorbina","Cray 1973",1973
"4659",413812,"Trigonioides (Wakinoa)","Hayami 1975",1975
"4669",414828,"Yeharella","Hayami 1975",1975
"4673",414848,"Steinmanella (Steinmanella)","Hayami 1975",1975
"4680",414862,"Steinmanella (Setotrigonia)","Hayami 1975",1975
"4684",414874,"Himenourella","Hayami 1975",1975
"4703",414898,"Metacanthotrigonia","Hayami 1975",1975
"4735",415247,"Pterotrigonia (Ptilotrigonia)","Hayami 1975",1975
"4752",415359,"Pseudasaphis","Hayami 1975",1975
"4754",415376,"Crenotrapezium","Hayami 1975",1975
"4811",417485,"Isodomella","Hayami 1975",1975
"4840",418212,"Agapella","Hayami 1975",1975
"4870",419930,"Libitina","Elouard and Roman 1966",1966
"4872",419982,"Diptyxis","Kollmann and Peza 1997",1997
"4873",419983,"Multiptyxis","Peza and Zitt 2002",2002
"4874",419999,"Plesioptyxis","Peza and Zitt 2002",2002
"4925",423143,"Staffinella","MacLeod and Hills 1990",1990
"4932",424648,"Laccinum","Arua 1989",1989
"4953",432615,"Paronella","Cabral-Cano et al. 2000",2000
"4960",435430,"Anisocardia","Garnder et al. 1888",1888
"4986",437175,"Obeliscus","Burton 1933",1933
"4988",437181,"Paludestrina","Burton 1933",1933
"5008",440579,"Nucleopsis","Gardner 1945",1945
"5042",450212,"Praesargana","Anderson 1958",1958
"5048",450258,"Louella","Saul 1978",1978
"5051",450288,"Entalis","Anderson 1958",1958
"5060",451160,"Bulimulus","Anderson 1958",1958
"5097",453619,"Leanzatrigonia","Lazo 2003",2003
"5124",457396,"Amalda (Gracilispira)","Maxwell 1992",1992
"5125",457418,"Pyrgiscilla","Maxwell 1992",1992
"5126",457419,"Costosyrnola","Maxwell 1992",1992
"5130",457425,"Gadilina","Maxwell 1992",1992
"5132",458513,"Spectamen","Maxwell 1992",1992
"5133",458555,"Bastropia","Maxwell 1992",1992
"5137",458568,"Micrancilla","Maxwell 1992",1992
"5156",460638,"Biomphalaria","Melchor et al. 1992",1992
"5159",460643,"Diplodon","Melchor et al. 1992",1992
"5163",462437,"Anodonta","Gingerich et al. 1979",1979
"5190",474129,"Clavagella (Clavagella)","Bielokrys 1991",1991
"5199",474525,"Malbalnella","Korotkov 1994",1994
"5201",474950,"Trajanella","Kiel and Bandel 2003",2003
"5202",474955,"Camponaxis","Kiel and Bandel 2003",2003
"5204",474970,"Beisselia","Kiel and Bandel 2003",2003
"5205",474978,"Schizofusus","Kiel and Bandel 2003",2003
"5214",475039,"Guanacastea","Mitchell et al. 2004",2004
"5219",477087,"Transitrigonia","Kauffman and Leanza 2004",2004
"5220",477088,"Garatella","Kauffman and Leanza 2004",2004
"5221",477089,"Neuquenella","Kauffman and Leanza 2004",2004
"5223",477091,"Myophorella (Haidaia)","Kauffman and Leanza 2004",2004
"5226",480385,"Lychnus","Tabuce et al. 2004",2004
"5228",484106,"Teinostoma (Eutinochilus)","Darragh and Kendrick 2000",2000
"5234",488188,"Reesidella","Estes 1964",1964
"5236",490695,"Leptomurex","Woodring 1973",1973
"5240",490715,"Gadilopsis","Woodring 1973",1973
"5254",492902,"Pisidium","Woodring 1982",1982
"5257",494615,"Adiozoptyxis","Sano 1995",1995
"5260",496709,"Amalda (Baryspira)","Beu et al. 1990",1990
"5342",500265,"Kaitoa","Williamson 1939",1939
"5367",502427,"Leptochiton","Campbell et al. 1993",1993
"5395",515867,"Cadulus (Platyschides)","Nesbitt 1995",1995
"5413",516792,"Aturia (Brazaturia)","Campbell 1995",1995
"5435",517869,"Chiralithes","Olsson 1930",1930
"5492",520511,"Oreoconus","McKenna et al. 1962",1962
"5502",521687,"Oreohelix","Winkler 1983",1983
"5503",521688,"Polygyra","Winkler 1983",1983
"5504",521690,"Grangerella","Winkler 1983",1983
"5507",528851,"Admetopsis","Kirkland 1996",1996
"5526",536015,"Pachychilus","Olsson 1931",1931
"5537",537688,"Caspiconcha","Kelly et al. 2000",2000
"5566",538309,"Pseudotrapezium","Jeletzky 1958",1958
"5575",538790,"Aptychus","Cotillon 1968",1968
"5583",540739,"Phylloceras (Goretophylloceras)","Delamette et al. 1997",1997
"5597",541579,"Paraturbo","Delamette et al. 1997",1997
"5614",544338,"Roudairia","Benavides-Caceres 1956",1956
"5633",545490,"Praeoxyteuthis","Baraboshkin and Mutterlose 2004",2004
"5659",559022,"Neomiodon","Benton and Spencer 1995",1995
"5701",569915,"Sphaerulites","Néraudeau and Moreau 1996",1996
"5709",572157,"Cornirostridae (Tomura)","Kiel 2006",2006
"5711",572167,"Mahajangina","Kiel 2006",2006
"5736",579465,"Pleurodonte","Mansfield 1937",1937
"5743",579472,"Tocobaga","Mansfield 1937",1937
"5749",579480,"Pupoides","Mansfield 1937",1937
"5753",579485,"Spiraxis","Mansfield 1937",1937
"5754",579486,"Helicina","Mansfield 1937",1937
"5756",580106,"Assiminea","Mansfield 1937",1937
"5757",580108,"Amnicola","Mansfield 1937",1937
"5785",581239,"Anconia","Shepard 1937",1937
"5802",584414,"Praelapeirousia","Mermighis and Marcopoulou-Diacantoni 2004",2004
"5862",585076,"Hibolithes","Fozy and Janssen 2006",2006
"5886",588508,"Neobuchotrigonia","Dhondt and Jaillard 2005",2005
"5891",589495,"Longibelus","Moriya and Hirano 2001",2001
"5913",589657,"Cretadmete","Blagovetshenskiy and Shumilkin 2006",2006
"5915",590405,"Aphanoptyxis","Saul and Squires 1998",1998
"5945",600169,"Cadulus (Cadulus)","Stilwell and Zinsmeister 1992",1992
"5946",600183,"Gaimardia","Stilwell and Zinsmeister 1992",1992
"5955",601748,"Macgillavryia","Philip and Jaillard 2004",2004
"5969",602057,"Glossomyophorus","Masse et al. 2004",2004
"5991",602780,"Rhyncholithes","Giers 1964",1964
"6004",602886,"Paulckella","Cooper et al. 1989",1989
"6023",603246,"Kimbleia","Garcia-Barrera 2006",2006
"6024",603247,"Mexicaprina","Garcia-Barrera 2006",2006
"6035",603269,"Huetamia","Garcia-Barrera 2006",2006
"6036",603270,"Pantojaloria","Alencaster and Pantoja-Alor 1995",1995
"6045",603299,"Jalpania","Alencaster and Aguilar-Perez 1995",1995
"6046",603300,"Texicaprina","Garcia-Barrera 2006",2006
"6052",603306,"Guzzyella","Garcia-Barrera 2006",2006
"6054",603308,"Muellerriedia","Garcia-Barrera 2006",2006
"6058",603312,"Pacificaprina","Garcia-Barrera 2006",2006
"6064",603318,"Gonioteuthis","Niebuhr 2005",2005
"6127",603702,"Praecaprina","Masse et al. 1998",1998
"6144",603762,"Sphaerucaprina","Steuber 1999",1999
"6147",603781,"Lapeirousella","Steuber 1999",1999
"6164",603897,"Fossulites","Steuber 1999",1999
"6185",603924,"Hartwellia (Tealbya)","Zakharov et al. 1999",1999
"6186",603925,"Pronoella","Zakharov et al. 1999",1999
"6190",603932,"Petkovicia","Steuber 1999",1999
"6197",603993,"Hudlestonella","Zakharov et al. 1999",1999
"6236",604454,"Petalodontia","Masse et al. 1998",1998
"6250",604596,"Arcticlam","Marincovich 1993",1993
"6251",604632,"Mytilon","Marincovich 1993",1993
"6252",605108,"Archaeoradiolites","Fenerci-Masse et al. 2006",2006
"6315",606636,"Pterotrigonioides","Cooper 1979",1979
"6317",606686,"Speightia","Gage 1957",1957
"6330",606833,"Uttleya","Gage 1957",1957
"6334",606866,"Notogenota","Gage 1957",1957
"6347",607189,"Aptyxiella","Malchus et al. 1995",1995
"6349",607195,"Mathesia","Mainelli 1995",1995
"6353",607421,"Conobelus","Lukeneder 2004",2004
"6354",607429,"Bralitzia","Kaim 2001",2001
"6395",607648,"Bandellina","Kaim 2001",2001
"6421",608271,"Cochisella","Stoyanow 1949",1949
"6428",608309,"Sonoragonia","Stoyanow 1949",1949
"6503",612502,"Zhuravlevia","Doguzhaeva 1994",1994
"6508",612513,"Naefia","Doguzhaeva 1994",1994
"6512",612838,"Ceritella","Kollmann 2002",2002
"6586",614685,"Carinophylloceras","Klinger et al. 1975",1975
"6588",614692,"Praeaucellina","Crame 1996",1996
"6615",618479,"Dzikella","Kaim et al. 2004",2004
"6655",620260,"Margarita","Smettan 1997",1997
