"","occurrence_no","genus","ref_author","ref_pubyr"
"12264",1282527,"Syrionautilus","Foord and Crick 1890",1890
"12267",1283473,"Steinmanella (Litschkovitrigonia)","Prosorovsky 1990",1990
"12287",1285295,"Josanautilus","Vilanova y Piera 1870",1870
"12323",1285842,"Limicolaria","Neubert and van Damme 2012",2012
"12325",1285846,"Zootecus","Neubert and van Damme 2012",2012
"12326",1285847,"Trochozonites","Neubert and van Damme 2012",2012
"12327",1285928,"Spoelia","Cahuzac and Janssen 2010",2010
"12334",1285965,"Peraclis","Cahuzac and Janssen 2010",2010
"12337",1286059,"Euchilotheca","Cahuzac and Janssen 2010",2010
"12363",1287893,"Bourguetia","Chattopadhyay 2004",2004
"12364",1288625,"Humptulipsia","Goedert and Kaler 1996",1996
"12367",1289750,"Cyclophorus","Grigorescu et al. 1985",1985
"12370",1296330,"Tonicia","Dell'Angelo et al. 2014",2014
"12371",1296331,"Lepidochitona","Dell'Angelo et al. 2014",2014
"12374",1296750,"Aegyptosaepia","Košťák et al. 2013",2013
"12375",1296751,"Anomalosaepia","Košťák et al. 2013",2013
"12463",1315746,"Iravadia (Iravadia)","Lozouet 2003",2003
"12468",1317686,"Brachycerithium","Cónsole Gonella 2011",2011
"12474",1317765,"Sigaretornus","Lauridsen and Schnetler 2014",2014
"12475",1317770,"Laeviphitus","Lauridsen and Schnetler 2014",2014
"12480",1317870,"Rissoella","Lauridsen and Schnetler 2014",2014
"12488",1318158,"Floribella","Pacaud 2003",2003
"12497",1321572,"Rigauxia","Gründel and Kollmann 2012",2012
"12500",1321575,"Favria","Gründel and Kollmann 2012",2012
"12505",1321678,"Dumasella","Cossmann 1916",1916
"12508",1321708,"Lacunella","Caze et al. 2012",2012
"12509",1321724,"Acrocolpus","Caze et al. 2012",2012
"12510",1321777,"Eomorea","d'Orbigny 1843",1843
"12511",1321781,"Staliopsis (Sandbergeriella)","Cossmann 1921",1921
"12512",1321782,"Cirsomphalus","Cossmann 1921",1921
"12513",1321834,"Galericulus","Seeley 1861",1861
"12533",1322814,"Costhyrella","Pacaud 1997",1997
"12556",1323451,"Valvata (Valvata)","Glibert 1962",1962
"12564",1323475,"Stalioa","Glibert 1962",1962
"12565",1323476,"Lutetiella","Glibert 1962",1962
"12573",1323672,"Bythinella (Acrophlyctis)","Glibert 1962",1962
"12581",1325847,"Cochliolepis (Tylaxis)","Garvie 2013",2013
"12585",1325891,"Pyrgula","Glibert 1949",1949
"12614",1331693,"Pyrunculus","MacNeil and Dockery 1984",1984
"12629",1334362,"Gemmoliva","Darragh and Kendrick 2008",2008
"12669",1336006,"Ischnochiton","Dell'Angelo et al. 2011",2011
"12673",1336010,"Craspedochiton","Dell'Angelo et al. 2011",2011
"12681",1336022,"Dorcasia","Pickford 2015",2015
"12683",1336030,"Trigonephrus","Pickford 2015",2015
"12817",1348343,"Australorbis","Crochet et al. 1988",1988
"12819",1348975,"Cepaea","Mennecart et al. 2012",2012
"12827",1350955,"Jaccardiella","Arkadiev et al. 2000",2000
"12830",1350962,"Macrophylloceras","Arkadiev et al. 2000",2000
"12835",1351817,"Strophostoma","Sudre 1969",1969
"12841",1353008,"Zachrysia","Roth 1988",1988
"12842",1353009,"Labyrinthus","Roth 1988",1988
"12843",1353010,"Helminthoglypta","Roth 1988",1988
"12957",1354602,"Bearizia","Pacaud et al. 2013",2013
"13055",1359708,"Bullaea","Deshayes 1824",1824
"13115",1364573,"Zinsitys","Elder and Miller 1993",1993
"13141",1371493,"Youngicaprina","Scott et al. 2016",2016
"13163",1371720,"Neokimbleia","Scott et al. 2016",2016
"13167",1372591,"NO_GENUS_SPECIFIED","Ciobanu 1977",1977
"13174",1374657,"Antarctiteuthis","Doyle and Shakides 2004",2004
"13278",1390460,"Ferrissia","Yen 1948",1948
"13292",1390486,"Vertigo","Yen 1948",1948
"13303",1390498,"Anisus","McKenna et al. 1962",1962
"13322",1394595,"Proparreysia","Roth and Hartman 1998",1998
"13323",1394596,"Quadrula","Roth and Hartman 1998",1998
"13325",1394598,"Pleiodon","Roth and Hartman 1998",1998
"13374",1406855,"Micrarionta","Weaver and Kleinpell 1963",1963
"13381",1419378,"Arguniella","Li et al. 2018",2018
"13390",1424373,"Menetus","Yen 1946",1946
"13394",1424377,"Charydrobia","Yen 1946",1946
"13400",1424383,"Glypterpes","Yen 1946",1946
"13406",1428050,"Depressigyra","Hybertsen and Kiel 2018",2018
"13407",1428054,"Desbruyeresia","Hybertsen and Kiel 2018",2018
"13409",1428057,"Hyalogyrina","Hybertsen and Kiel 2018",2018
"13426",1433394,"Lysinoe","Roth 1984",1984
"13427",1433395,"Polymita","Roth 1984",1984
"13437",1433405,"Xerarionta","Roth 1984",1984
"13438",1433406,"Pleurodonte (Pleurodonte)","Roth 1984",1984
"13465",1438018,"Margaritifera (Margaritifera)","Mongin and Lapparent 1968",1968
"13466",1438019,"Margaritifera (Pseudunio)","Mongin and Lapparent 1968",1968
"13481",1439396,"Kleinacteon","Turner 1938",1938
"13482",1439521,"Mengyinaia","Fang et al. 2009",2009
"13483",1439522,"Pseudelliptio","Fang et al. 2009",2009
"13486",1439720,"Jilinoconcha","Fang et al. 2009",2009
"13487",1440119,"Cyotrigonioides","Fang et al. 2009",2009
"13488",1440120,"Sinonaia","Fang et al. 2009",2009
"13489",1440121,"Multiplicanaia","Fang et al. 2009",2009
"13490",1440122,"Peregrinoconcha","Fang et al. 2009",2009
"13491",1440123,"Nippononaia (Eonippononaia)","Fang et al. 2009",2009
"13492",1440124,"Nippononaia (Eomartinsonella)","Fang et al. 2009",2009
"13493",1440125,"Trigonioides (Didymotrigonioides)","Fang et al. 2009",2009
"13494",1440126,"Trigonioides (Xizangotrigonioides)","Fang et al. 2009",2009
"13495",1440128,"Eotrigonioides","Fang et al. 2009",2009
